Term	POS1	POS2	POS3	POS4		Anger	Disgust	Fear	Happiness	Sadness	Surprise	Polarity1	Polarity2	Polarity3	Polarity4	Polarity_Avg	Emotion_Affected_Polarity	Normalized_Polarity
ακαλλιέργητος -η -ο	ADJ	ADJ	ADJ	ADJ		2.25	2.75	1.0	1.0	2.25	2.0	-1	-1	-1	-1	-1.0	-1.52	-2.98
άκαπνος	ADJ	ADJ	ADJ	ADJ		1.0	2.0	1.0	1.0	2.0	2.5	-1	0	-1	0	-0.5	-0.78	-1.4
άκαπνος	N/A	ADJ	ADJ	ADJ		1.0	2.0	1.0	1.0	2.0	3.0	0	0	-1	0	-0.25	-0.5	-0.8
άκαρδος -η -ο	ADJ	ADJ	ADJ	ADJ		3.0	3.0	1.75	1.0	2.5	2.25	-1	-1	-1	-1	-1.0	-1.71	-3.38
ακατάσβεστος -η -ο	ADJ	ADJ	ADJ	ADJ		1.25	1.25	1.75	2.25	1.25	1.75	0	0	0	0	0.0	-0.01	0.25
ακηδεμόνευτος	ADJ	ADJ	ADJ	ADJ		1.5	2.0	2.5	1.0	4.0	2.5	-1	0	-1	0	-0.5	-1.18	-2.25
ακόρεστος -η -ο	ADJ	ADJ	ADJ	ADJ		1.33	2.67	1.67	1.0	1.0	3.0	-1	-0.5	-1	0	-0.62	-0.94	-1.74
ακούραστος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.0	1.0	3.33	1	0	1	1	0.75	1.12	2.66
ακουστικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.5	1.0	3.0	1	0	1	0	0.5	0.95	2.29
ακούω	VERB	VERB	VERB	VERB		2.0	2.0	1.0	3.0	1.0	3.0	1	0	0	0	0.25	0.4	1.12
ακτινοβόλος -ος / -α -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.25	1.0	3.0	1	1	1	1	1.0	1.6	3.68
άλαλος -η -ο	ADJ	ADJ	ADJ	ADJ		1.5	1.25	2.25	1.75	2.0	4.75	-1	-0.5	-0.5	-0.5	-0.62	-0.73	-1.29
αλεπού	NOUN	NOUN	NOUN	NOUN		1.67	2.33	1.67	1.0	1.0	2.0	-0.5	0	-1	-0.5	-0.5	-0.87	-1.59
αλευρώνω	VERB	VERB	VERB	VERB		3.0	3.0	1.0	1.0	1.0	3.0	-1	0	-1	0	-0.5	-0.95	-1.76
αλητάκι	NOUN	NOUN	NOUN	NOUN		3.67	4.0	2.0	1.0	2.0	2.0	-1	0	-1	-1	-0.75	-1.62	-3.19
αλητάκος	NOUN	NOUN	NOUN	NOUN		3.67	4.0	2.0	1.0	2.0	2.0	-1	0	-1	-1	-0.75	-1.62	-3.19
αλητάμπουρας	NOUN	NOUN	NOUN	NOUN		3.5	4.25	2.0	1.0	1.75	2.0	-1	-1	-1	-1	-1.0	-1.85	-3.68
αληταράς	NOUN	NOUN	NOUN	NOUN		4.0	4.75	2.25	1.0	2.0	2.25	-1	-1	-1	-1	-1.0	-1.99	-3.98
αληταριό	NOUN	NOUN	NOUN	NOUN		4.0	4.75	2.0	1.0	2.0	2.5	-1	-1	-1	-1	-1.0	-1.95	-3.89
αλήτης	NOUN	NOUN	NOUN	NOUN		4.33	4.67	2.33	1.0	2.33	2.33	-1	0	-1	-1	-0.75	-1.8	-3.57
αλήτης	NOUN	NOUN	NOUN	NOUN		4.33	4.67	2.33	1.0	2.33	2.33	-1	0	-1	-1	-0.75	-1.8	-3.57
αλητοπαρέα	NOUN	NOUN	NOUN	NOUN		4.33	4.33	2.67	1.0	2.0	2.67	-1	0	-1	-1	-0.75	-1.75	-3.47
αλητοτουρίστας	NOUN	NOUN	NOUN	NOUN		2.75	3.75	2.0	1.0	1.75	1.75	-1	-1	-1	-1	-1.0	-1.74	-3.45
αλιεύω	VERB	VERB	VERB	VERB		2.0	3.5	1.0	1.0	2.0	3.0	-1	0	-1	0	-0.5	-1.0	-1.87
αλλά	CONJ	CONJ	CONJ	CONJ		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
αλλαξοκωλιά	NOUN	NOUN	NOUN	NOUN		2.75	4.5	1.0	1.0	2.0	3.0	-1	0	-1	-1	-0.75	-1.42	-2.76
αλλάχ	NOUN	NOUN	NOUN	NOUN		3.33	2.67	1.67	2.0	2.0	4.0	-1	0	-1	-0.5	-0.62	-0.99	-1.85
αλληθωρίζω	VERB	VERB	VERB	VERB		2.5	2.5	2.0	1.0	2.0	3.5	-1	0	-1	0	-0.5	-1.02	-1.91
αλλόπιστος	NOUN	ADJ	ADJ	ADJ		2.0	2.67	2.0	1.0	1.67	2.67	-1	0	-1	-1	-0.75	-1.25	-2.4
αλόγα	NOUN	NOUN	NOUN	NOUN		1.5	3.75	1.0	1.0	1.0	2.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
αλογικός -ή -ό	ADJ	ADJ	ADJ	ADJ		2.67	2.67	1.0	1.0	1.67	2.0	-1	0	-1	-1	-0.75	-1.25	-2.4
αλογομούρης	ADJ	NOUN	NOUN	NOUN		2.25	4.25	1.0	1.0	1.0	2.25	-1	-1	-1	-1	-1.0	-1.54	-3.02
αλτρουιστικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.67	1.0	2.67	1	0	1	1	0.75	1.22	2.87
αλύπητος -η -ο	ADJ	ADJ	ADJ	ADJ		1.5	1.75	2.0	1.0	2.75	2.0	-1	-0.5	-1	-1	-0.88	-1.38	-2.68
αλυσίδα	NOUN	NOUN	NOUN	NOUN		2.0	2.0	3.0	1.0	2.5	2.5	-1	0	-1	0	-0.5	-1.12	-2.12
αλύτρωτος	ADJ	ADJ	ADJ	ADJ		1.67	1.67	2.33	1.0	4.0	1.67	-1	0	-1	-1	-0.75	-1.43	-2.78
αμάν	INTJ	INTJ	INTJ	INTJ		4.5	4.25	4.25	2.0	4.0	4.5	-1	-0.5	-1	-1	-0.88	-1.96	-3.91
αμίμητος	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.5	1.0	4.5	1	0	1	0	0.5	1.02	2.44
αμοιβαίος -α -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.0	1.0	2.5	1	0	1	0	0.5	1.02	2.44
αμοιβαιότητα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	4.0	1.0	3.0	1	0	1	0	0.5	1.05	2.51
αμοιβή	NOUN	NOUN	NOUN	NOUN		1.5	2.0	1.0	2.0	1.0	2.0	0	0	0	0	0.0	-0.05	0.16
αμφιθυμία	NOUN	NOUN	NOUN	NOUN		2.0	2.0	1.0	1.0	1.5	1.5	-1	-0.5	-1	-0.5	-0.75	-1.12	-2.12
ανάβω	VERB	VERB	VERB	VERB		4.0	1.67	3.33	2.33	2.33	2.33	-0.5	-0.5	-1	0	-0.5	-1.05	-1.97
αναγαλλιάζω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	3.75	1.0	2.25	1	1	1	1	1.0	1.46	3.38
ανάθεμα	NOUN	NOUN	NOUN	INTJ		4.75	2.5	1.5	1.0	2.0	2.25	-1	-1	-1	-1	-1.0	-1.76	-3.49
αναιδής -ής -ές	ADJ	ADJ	ADJ	ADJ		4.0	3.67	1.67	1.0	2.0	3.0	-1	-1	-1	-1	-1.0	-1.78	-3.53
αναισθησία	NOUN	NOUN	NOUN	NOUN		3.33	3.67	1.0	1.0	3.33	3.33	-1	-1	-1	-1	-1.0	-1.77	-3.51
αναίσθητος -η -ο	ADJ	ADJ	ADJ	ADJ		3.33	3.67	1.0	1.0	3.33	3.33	-1	-1	-1	-1	-1.0	-1.77	-3.51
αναισχυντία	NOUN	NOUN	NOUN	NOUN		2.75	3.25	1.0	1.0	2.0	3.0	-1	-1	-1	-1	-1.0	-1.55	-3.04
αναίσχυντος -η -ο	ADJ	ADJ	ADJ	ADJ		2.75	3.25	1.0	1.0	2.0	3.0	-1	-1	-1	-1	-1.0	-1.55	-3.04
ανακάτεμα	NOUN	NOUN	NOUN	NOUN		2.25	4.5	2.25	1.0	2.75	2.0	-1	-1	-1	-1	-1.0	-1.88	-3.74
ανακατεύω	VERB	VERB	VERB	VERB		3.0	4.33	2.67	1.0	2.33	2.33	-1	-1	-1	0	-0.75	-1.67	-3.3
ανακράζω	VERB	VERB	VERB	VERB		3.5	3.5	3.5	2.5	3.0	3.75	-1	-0.5	-1	-0.5	-0.75	-1.41	-2.74
αναλαμβάνω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
αναλγησία	NOUN	NOUN	NOUN	NOUN		2.33	3.0	2.33	1.0	2.33	2.33	-1	-1	-1	0	-0.75	-1.43	-2.78
αναλιγώνω	VERB	VERB	VERB	VERB		2.0	3.0	1.0	1.0	1.5	1.0	-1	0	-1	0	-0.5	-1.0	-1.87
ανάμεικτος -η -ο	NOUN	ADJ	ADJ	ADJ		1.33	2.33	1.67	2.33	2.0	2.0	0	0	0	0	0.0	-0.17	-0.1
άναμμα	NOUN	NOUN	NOUN	NOUN		4.0	1.67	3.0	2.33	1.0	2.0	-1	-0.5	-1	0	-0.62	-1.02	-1.91
αναπηδώ	VERB	VERB	VERB	VERB		3.0	1.33	4.33	2.33	1.33	4.67	-1	-0.5	-1	0	-0.62	-0.92	-1.7
αναπλάθω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	3.5	1.0	2.0	1	0	1	0	0.5	0.9	2.19
ανάπλαση	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.5	1.0	2.0	1	0	1	0	0.5	0.9	2.19
αναπτερώνω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	4.5	1.25	1.75	1	1	1	1	1.0	1.56	3.59
αναριγώ	VERB	VERB	VERB	VERB		2.5	1.75	4.25	1.0	2.5	1.75	-1	-1	-1	-1	-1.0	-1.81	-3.59
αναρριπίζω	VERB	VERB	VERB	VERB		2.0	2.0	2.0	3.75	2.0	1.75	1	0.5	1	1	0.88	0.92	2.23
ανασκιρτώ	VERB	VERB	VERB	VERB		2.0	1.25	3.75	3.75	2.5	3.25	-1	-0.5	-1	1	-0.38	-0.42	-0.63
ανάστατος -η -ο	ADJ	ADJ	ADJ	ADJ		3.75	1.5	3.25	1.75	3.0	3.75	-1	-0.5	-1	-1	-0.88	-1.49	-2.91
αναστατώνω	VERB	VERB	VERB	VERB		3.75	1.5	3.25	1.75	3.0	4.0	-1	-0.5	-1	-1	-0.88	-1.48	-2.89
αναστάτωση	NOUN	NOUN	NOUN	NOUN		3.75	1.5	3.25	1.75	3.0	4.0	-1	-0.5	-1	-1	-0.88	-1.48	-2.89
αναστεναγμός	NOUN	NOUN	NOUN	NOUN		1.5	1.0	1.75	2.0	4.5	1.75	-1	-0.5	-1	-0.5	-0.75	-1.14	-2.17
ανασφάλεια	NOUN	NOUN	NOUN	NOUN		1.5	1.0	4.0	1.0	2.5	1.5	-1	-1	-1	-1	-1.0	-1.62	-3.19
ανατριχιάζω	VERB	VERB	VERB	VERB		1.75	3.5	3.75	1.5	2.25	3.0	-1	-1	-1	-0.5	-0.88	-1.55	-3.04
ανατριχίλα	NOUN	NOUN	NOUN	NOUN		1.75	3.25	3.5	1.5	2.25	3.0	-1	-1	-1	-0.5	-0.88	-1.5	-2.93
άναυδος -η -ο	ADJ	ADJ	ADJ	ADJ		2.0	2.25	3.75	1.5	2.25	5.0	-0.5	-0.5	-1	-0.5	-0.62	-1.09	-2.06
ανδραγάθημα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	4.0	1.0	3.0	1	0	1	1	0.75	1.3	3.04
ανδρείκελο	NOUN	NOUN	NOUN	NOUN		2.25	3.5	1.0	1.0	1.5	1.25	-1	-1	-1	-1	-1.0	-1.56	-3.06
ανειλικρινής -ής -ές	ADJ	ADJ	ADJ	ADJ		2.33	2.33	1.0	1.0	1.33	1.0	-1	0	-1	-1	-0.75	-1.2	-2.29
ανεκδήλωτος -η -ο	ADJ	ADJ	ADJ	ADJ		1.5	1.0	1.0	1.0	1.0	1.0	-0.5	0	-1	0	-0.38	-0.58	-0.97
ανεκδιήγητος	ADJ	ADJ	ADJ	ADJ		3.0	3.25	1.0	1.5	2.0	1.5	-1	-1	-1	-1	-1.0	-1.55	-3.04
ανεκδοτολογία	NOUN	NOUN	NOUN	NOUN		2.0	2.33	1.0	1.0	1.0	1.0	-1	-1	-1	0	-0.75	-1.13	-2.14
ανέκφραστος -η -ο	ADJ	ADJ	ADJ	ADJ		1.33	1.33	1.67	1.67	2.0	2.67	-1	0	-1	-0.5	-0.62	-0.79	-1.42
ανελεήμονας	ADJ	ADJ	ADJ	ADJ		2.5	2.5	1.75	1.0	2.5	1.25	-1	-1	-1	-1	-1.0	-1.66	-3.27
ανελέητος -η -ο	ADJ	ADJ	ADJ	ADJ		3.0	2.75	1.75	1.0	2.5	1.25	-1	-1	-1	-1	-1.0	-1.74	-3.45
ανεμίζω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
ανεντρόπιαστος -η -ο	ADJ	ADJ	ADJ	ADJ		2.75	2.75	1.0	1.0	2.0	1.75	-1	-1	-1	-1	-1.0	-1.56	-3.06
άνεση	NOUN	NOUN	NOUN	NOUN		1.0	1.33	1.0	3.33	1.0	2.67	0.5	0	1	1	0.62	0.99	2.38
ανευθυνολογώ	VERB	VERB	VERB	VERB		2.5	2.25	1.0	1.0	1.0	1.0	-1	-1	-1	-1	-1.0	-1.43	-2.78
ανεύθυνος -η -ο	ADJ	ADJ	ADJ	ADJ		2.5	2.75	1.25	1.0	2.25	1.0	-1	-1	-1	-1	-1.0	-1.62	-3.19
ανθρωπάκι	NOUN	NOUN	NOUN	NOUN		3.0	3.25	1.0	1.5	1.75	1.0	-1	-0.5	-1	-1	-0.88	-1.43	-2.78
ανθρωπάκος	NOUN	NOUN	NOUN	NOUN		3.0	3.25	1.0	1.5	1.75	1.0	-1	-0.5	-1	-1	-0.88	-1.43	-2.78
ανθρωπιά	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.25	1.0	1.75	1	1	1	1	1.0	1.34	3.13
ανθρώπινος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.33	1.0	2.33	1	1	1	0	0.75	1.13	2.68
άνθρωπος	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.5	1.0	4.0	1	0	1	0	0.5	1.0	2.4
ανθρωποφοβία	NOUN	NOUN	NOUN	NOUN		1.25	2.0	4.25	1.0	1.5	1.5	-1	-1	-1	-1	-1.0	-1.62	-3.19
ανία	NOUN	NOUN	NOUN	NOUN		1.5	1.0	1.0	1.0	2.5	1.0	-1	-1	-1	-1	-1.0	-1.35	-2.61
ανικανοποίητος -η -ο	ADJ	ADJ	ADJ	ADJ		1.67	1.33	1.0	1.33	2.33	1.0	-1	0	-1	-0.5	-0.62	-0.94	-1.74
ανόθευτος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.0	1.0	3.5	1	0	1	0	0.5	0.88	2.14
άνοια	NOUN	NOUN	NOUN	NOUN		2.0	2.33	1.0	1.0	2.67	1.0	-1	0	-1	-1	-0.75	-1.3	-2.51
ανοίγω	VERB	VERB	VERB	VERB		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
ανορθώνω	VERB	VERB	VERB	VERB		1.0	1.0	1.0	4.0	1.0	1.0	0	0	0	1	0.25	0.7	1.76
άνοστος -η -ο	NOUN	ADJ	ADJ	ADJ		1.25	2.75	1.0	1.0	2.0	1.5	-1	-1	-1	-1	-1.0	-1.43	-2.78
ανταποκρίνομαι	VERB	VERB	VERB	VERB		1.0	1.0	1.0	4.0	1.0	4.0	1	0	1	0	0.5	1.1	2.61
άντες	INTJ	INTJ	INTJ	INTJ		4.33	3.33	1.0	1.67	1.67	2.33	-1	0	-1	-0.5	-0.62	-1.2	-2.29
αντιαμερικανικός -ή -ό	ADJ	ADJ	ADJ	ADJ		3.0	2.0	1.0	1.0	1.0	1.0	-1	0	-1	0	-0.5	-0.95	-1.76
αντιγραφέας	ADJ	NOUN	NOUN	NOUN		3.0	3.0	1.0	1.0	1.0	2.0	-1	0	-1	0	-0.5	-1.0	-1.87
αντιπάθεια	NOUN	NOUN	NOUN	NOUN		3.5	3.5	1.0	1.0	1.25	1.0	-1	-1	-1	-1	-1.0	-1.68	-3.32
αντιπαθώ	VERB	VERB	VERB	VERB		3.5	3.5	1.0	1.0	1.25	1.0	-1	-1	-1	-1	-1.0	-1.68	-3.32
αντισημιτικός -ή -ό	ADJ	ADJ	ADJ	ADJ		4.5	3.0	1.5	1.0	1.0	1.0	-1	0	-1	0	-0.5	-1.25	-2.4
αντιστέκομαι	VERB	VERB	VERB	VERB		2.0	1.67	2.0	1.67	1.33	1.0	-1	0	-1	1	-0.25	-0.57	-0.95
αντίχριστος	ADJ	NOUN	NOUN	NOUN		4.25	2.75	2.5	1.0	1.0	1.25	-1	-1	-1	-1	-1.0	-1.79	-3.55
